label,tweet
0,rt @aef      kata @aniesbaswedan ipm di ibu kota manapun di seluruh dunia sll plg tinggi  benarkah? di amerika ternyata tidak be u     
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  hfzknf wp  #debat pilkadadki https     t co  oupxyfrkuj
0,rt @stellakarunia  jangan pilih cagub yg dekat dgn sarang koruptor  ud  d ude  #debat pilkadadki https     t co  ttxy oxi p
0,rt @teddygusnaidi  lah   lu monolog sejam yg dihadiri orang  lu sendiri  dipuja   knp gak dijelaskan? ngeles aja emg gak bisa u     
0,rt @takviri  #aniesberbohong n#aniesberbohong n#aniesberbohong n n#sandiberbohong n#sandiberbohong n#sandiberbohong https     t co  f z p zgkr
1,rt @margareth fh  dari dulu sampe sekarang emang gak rubah selalu tetap jadi #imlek #missuniverse #debat pilkadadki u     https     t co   j gl rzw 
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
1,rt @deelestari  momen tak terlupakan #debat pilkadadki https     t co  ec lotsk r
1,rt @teddygusnaidi     anies dan agus adalah dua orang yg bermimpi semuanya perfect  tdk ada yang salah dan harus menjadi manusia tanpa caca u    
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
1,rt @dipati sangga  balik lg ke pekerjaan masing  lah n   balik jadi tentara n   balik jadi gubernur n   balik jadi motivator #debat pilkadadki
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,rt @teddygusnaidi     tidak bisa dalam waktu   tahun hrs membereskan semuanya  karena masih ada yg dalam progres  ini bukan sulap simsalabi u    
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  xheqylmxin #debat pilkadadki https     t co  zxux pyljy
0,rt @desvronitaaa  gitu yg mau jadi pemimpin? udah salah harusnya intropeksi diri  bukan ngacuin jempol kebawah gitu emak sylvii  ud  d ude  #debat pil u    
0,rt @teddygusnaidi      kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin     tahun masih banyak yang miskin
0,rt @teddygusnaidi      kalau gunakan fantasi anies  maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart
0,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
0,rt @elyakin   saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon    emang hrs gitu ya bu silvy? kayak preman  u     
0,rt @erixputra  #debat pilkadadki knp sylviana mengacungkan jempol kebawah? bicara panjang lebar tanpa ada pertanyaan? n nkarena cewek tidak p u    
0,rt @arifahelfishy  nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya? #debat pilkadadki
1,rt @pbenyw  ipm di dki tertinggi berdasar data bps  bagaimana mas @aniesbaswedan ? cc @basuki btp  n#debat pilkadadki https     t co    celjudqc
1,rt @zul hasan  sebelum debat kompak dukung agus - sylvi  setelah #debat pilkadadki makin solid dukung @agussylvidki || @sohibahy u     
0,rt @ponakannyaom  paslon   masih berbicara seperti anime naruto dan bleach n nbanyak filler n n#debat pilkadadki
0,rt @ariearie     debat kok saling menjatuhkan ki pie? dua dua nya nyerang  eh malah bertengkar sendiri  (yg di serang melerai) *ngakak  ud  d ude   n#d u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! janji calon gubernur soal pembang    https     t co  dduvvxek c #debat pilkadadki
0,rt @imadya  anies semakin terlihat aslinya  masyarakat sudah cerdas tidak mudah dibohongi dengan opini nya yang mengelabui data #debat pilk u    
0,@gunromli mgk sebaiknya @aniesbaswedan siap  beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana   ud  d ude   ud  d ude   u   c ufe f ufe f #debat pilkadadki
0,rt @teddygusnaidi  terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk  di peringkat     #debat pilkadadki  nhttps u    
0,rt @mrtampi  agus makin santai  nahok makin santun  nanies makin esmosi  n nimho  n#debat pilkadadki
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  nxowqxyhfy #debat pilkadadki https     t co   oaurnmatd
0,rt @rianernesto  di #debat pilkadadki ada pak antasari azhar  suporter paslon teriak bongkar bongkar  ada seorang ibu dag dig dug
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja perwakilan ormas islam j    https     t co  eviwhceffh #debat pilkadadki #imlek
0,jangan pernah merobohkan pagar tanpa mengetahui me https     t co   zb o  uwf #debat pilkadadki
0,rt @andra diansyah  waktu agus bilang gak gusur tapi cuma geser  gue inget tatan lhoo #debat pilkadajkt #debat pilkadadki
0,rt @annisapohon   kata siapa mas agus enggak punya solusi utk masalah dki jkt? mas agus itu punya solusi bambang yudhoyono  sby     ud  d ude  #ahydki u    
0,rt @teddygusnaidi     tidak bisa dalam waktu   tahun hrs membereskan semuanya  karena masih ada yg dalam progres  ini bukan sulap simsalabi u    
0,rt @teddygusnaidi      ketidakberhasilan anies baswedan dalam memimpin kementerian  banyak masalah dan belum lagi soal salah hitung anggara u    
0,rt @teddygusnaidi      anies baswedan hanya mengurus satu urusan saja berantakan  bagaimana dia bisa berfantasi menyelesaikan banyak urusan u    
0,rt @pandji  nah gue pikir sentimen petahana oke di #debat pilkadadki semalam  tapi mnrt politicawave malah sebaliknya  geng u     
1,rt @josua tm  ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka  #debat pilkadadki
1,besok saya ajak kesana saja  saya udah survei minggu lalu  itu masuk bagian dr ibukota jakarta  ud  d ude a https     t co  mcmflaa yo
1,benerr bgt   dan tidak mengajak penonton ikut mikir  ud  d ude   https     t co  jqnzamb r 
1,rt @gandy koz  pak anis kl pas libur lebaran iseng  deh ke ancol  itu pantai isinya rakyat semua pak    bukan kecebong  #debat pilkadadki
1,sedangkan paslon    to the point  menjawab  punya data-data dan semua orang  s u d a h  tau transparasi pekerjaannya #debat pilkadadki
1,kami ingin melayani karena   rakyat adalah boss kami   #ahokdjarot #basukidjarot #debat pilkadadki pls rt u     https     t co  lfjvmrmchm
1,rt @gitamontolalu  kami ingin melayani karena   rakyat adalah boss kami   #ahokdjarot #basukidjarot #debat pilkadadki pls rt u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
0,rt @the various  mengacungkan jari kebawah termasuk bagian dari rasis  dan itu dilakukan paslon    menurut sy itu attitude yg kurang baik   u    
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  i lleilkxf #debat pilkadadki https     t co  wefqmiu vf
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja meriah! warga dan turis saksika    https     t co  cxectjknz  #debat pilkadadki
1,rt @aniesbaswedan  ibu  terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran  karakter dan semangat untuk berju u     
1,rt @ayusekarqq  #debat pilkadadki mgkin merasa survey si anis naik  jadinya malah dia keburu ingin ngejar prosentase hasil survey  semacam u    
1,apresiasi buat mbak @tina talisa sbg moderator #debat pilkadadki pasti punya tantangan trsendiri mnghadapi karakter  manusia pada saat itu  ud  d ude  
0,rt @jokoanwar  visi misi anies adalah penilaian buruk orang lain  #debat pilkadadki https     t co  ztbqwdudvg
0,rt @stellakarunia  jangan pilih cagub yg dekat dgn sarang koruptor  ud  d ude  #debat pilkadadki https     t co  ttxy oxi p
0,rt @majansukirnos  ngerih!!! @bangsa     @idm      n#debat pilkadadki https     t co  mppsglov v
1,rt @pandji  ini artikel yg menjelaskan ternyata di #debat pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https     t co u    
1,rt @zul hasan  sebelum debat kompak dukung agus - sylvi  setelah #debat pilkadadki makin solid dukung @agussylvidki || @sohibahy u     
1,kang @ridwankamil  jika pemimpin hanya membangun  apa bedanya dengan fir'aun--@aagym #debat pilkadadki
1,rt @teddygusnaidi     anies dan agus adalah dua orang yg bermimpi semuanya perfect  tdk ada yang salah dan harus menjadi manusia tanpa caca u    
0,rt @teddygusnaidi      ketidakberhasilan anies baswedan dalam memimpin kementerian  banyak masalah dan belum lagi soal salah hitung anggara u    
0,rt @teddygusnaidi      anies baswedan hanya mengurus satu urusan saja berantakan  bagaimana dia bisa berfantasi menyelesaikan banyak urusan u    
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
0,rt @pbenyw  mpok @sylviana murni salah sebut dg uu no   terkait pengelolaan sampah  padahal yg benar uu           u     
0,rt @jokoanwar  visi misi anies adalah penilaian buruk orang lain  #debat pilkadadki https     t co  ztbqwdudvg
0,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,berfikir sehat n#debat pilkadadki #missuniverse #loguepilihbadja #suzukisaturdays #muslimban
1,rt @aniesbaswedan  ibu  terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran  karakter dan semangat untuk berju u     
1,rt @jokoanwar  pak anies  kesempatan ngomong visi misi malah salam-salamin orang  #debat pilkadadki
0,rt @teddygusnaidi      kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin     tahun masih banyak yang miskin u    
1,rt @jean irene  makin paham siapa ahokdjarot  ternyata mrk mmg pekerja sekaligus pemikir handal dg kemampuan 'multitasking' sbg petahana  ud  d udc d u    
1,rt @glpromozar  cagub no   dan   cuma sebagai pelengkap alias penggembira mrka berdua bukan lawan sepadan ahok    #debat pilkadadki
1,rt @zul hasan  sebelum debat kompak dukung agus - sylvi  setelah #debat pilkadadki makin solid dukung @agussylvidki || @sohibahy u     
0,rt @teddygusnaidi  pengen tau apa tanggapan @annisapohan dan @sbyudhoyono     kalau @agusyudhoyono gak perlu ditanya  ntar ngak nyambu u     
0,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,#ridwankamil ri  @ridwankamil ri  smoga yg terbaik utk indonesia bagus #debat pilkadadki
1,rt @pandji  ini artikel yg menjelaskan ternyata di #debat pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https     t co u    
1,rt @a ainunnajib  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajkt u    
0,rt @nci ri  pasca #debat pilkadadki kena batunya  @agusyudhoyono dibentak kapolres jakarta selatan  karena bikin macet jalan  nhttps     t co   u    
0,rt @alfred       @gunromli mgk sebaiknya @aniesbaswedan siap  beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana   #debat  u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! teh hij    https     t co  fhfhaia eh #debat pilkadadki https     t co  mccrkxdxrt
1,rt @teddygusnaidi  para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan    mbok ya kalau tugas boleh tapi realistis u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
0,rt @teddygusnaidi  para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan    mbok ya kalau tugas boleh tapi realistis u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
1,rt @   agree  meme terbaik awal tahun ini  ))) pecah!!! goks @basuki btp #debat pilkadadki #ahokdjarot https     t co  mbq jiww  
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @netmediatama  paslon   akan mewujudkan birokrasi jakarta yang bersih dan melayani dengan hati  #debat pilkadadki https     t co  bz oj kphz
1,rt @   agree  meme terbaik awal tahun ini  ))) pecah!!! goks @basuki btp #debat pilkadadki #ahokdjarot https     t co  mbq jiww  
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja djarot  pak habibie mint    https     t co  kvdup zil  #debat pilkadadki #imlek
0,dan belum menemukan kualitas paslon   &amp
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  caootefbtp #debat pilkadadki https     t co   gzuwwrmdh
0,#debat pilkadadki @agusyudhoyono - agus mungkin kebykan nonton harry potter   dikit  terbang mengapung  atau emang jago mimpi?nipu dosa lho!
0,rt @erixputra  jadi pertanyaannya apa? dan ahok pun joged  #debat pilkadadki https     t co  ricyfbyogv
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  sygz  kogj #debat pilkadadki https     t co  hcfvde xys
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! lazio d    https     t co  ev yotgpyh #debat pilkadadki https     t co  dxkif mjgx
0,#debat pilkadadki nseorang mantan mentri pendidikan yg seharusnya santun dan bijak dalam berbicara malah selalu menyerang dan menjatuhkan 
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  kuygh fxem #debat pilkadadki https     t co  kza ov via
0,kosep menggeser tanpa menggusur  hellowww  masuk akal gk ya?#debat pilkadadki
1,rt @jokoanwar  pak anies  kesempatan ngomong visi misi malah salam-salamin orang  #debat pilkadadki
1,membandingkan ntb dengan dki jakarta apa pantas padahal kita sama  tahu jika mau membandingan sesuatu harus sebanding#debat pilkadadki
0,rt @mustafa sy  pemilih awam pasti susah paham dg istilah  asing yg berhamburan dr paslon   n    buknnya rakyat jd bahagia malah pusing #de u    
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  jlqgorul i #debat pilkadadki https     t co   pbx uotnx
0,rt @sehan   pk anis nyinggung kjp  rakyat jkt perlu tau nih  justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil  #debat pil u    
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @aniesbaswedan  ibu  terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran  karakter dan semangat untuk berju u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
0,rt @teddygusnaidi      kalau gunakan fantasi anies  maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart u    
0,rt @teddygusnaidi  lah   lu monolog sejam yg dihadiri orang  lu sendiri  dipuja   knp gak dijelaskan? ngeles aja emg gak bisa u     
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! tekuk t    https     t co  sr  kc m t #debat pilkadadki https     t co  vgibwpasjo
1,pak ahok sudah tepat pake data      data dr kompas      jg benar juga tp pak anis sudah tdk menjabat menteri  ud  d ude   cc  u     https     t co  fc fefwl  
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,rt @teddygusnaidi     tidak bisa dalam waktu   tahun hrs membereskan semuanya  karena masih ada yg dalam progres  ini bukan sulap simsalabi u    
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co    rk yrqpu #debat pilkadadki https     t co  df xmejfi 
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  qxc afu  a #debat pilkadadki https     t co  siloahwe h
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co   nh  zp i  #debat pilkadadki https     t co  dzms dmeyb
0,#ogahpilihterdakwa = panik karena terdakwa makin kuat bakal kepilih lagi    wkwkwkwk #debat pilkadadki #ahok djarot
0,wah  pak @basuki btp kurang tepat ini datanya   #debat pilkadadki https     t co   vr ef  xf
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,rt @zul hasan  sebelum debat kompak dukung agus - sylvi  setelah #debat pilkadadki makin solid dukung @agussylvidki || @sohibahy u     
1,rt @teddygusnaidi  para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan    mbok ya kalau tugas boleh tapi realistis u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @richardotio  bangkeeeeee   siapa nih yang buat meme seperti ini? gw ngakak brutal sampai planet jupiter    hahahahaha   u     
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,rt @ronaldferdynand  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki  sangat mulia  terima kasih pak @basuki b u    
0,rt @teddygusnaidi      kalau gunakan fantasi anies  maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! spurs s    https     t co  cv s ocnbj #debat pilkadadki https     t co  jmu cahrjv
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  wwgtutty m #debat pilkadadki https     t co  qniuvvcjyy
0,menonton debat cagub dki  agus masih berkhayal
1,rt @netmediatama   @basuki btp akan siapkan pembangunan sistem transportasi dengan transparasi utk menjawab pertanyaan dari u     
1,rt @teddygusnaidi     anies dan agus adalah dua orang yg bermimpi semuanya perfect  tdk ada yang salah dan harus menjadi manusia tanpa caca u    
0,rt @teddygusnaidi      anies baswedan hanya mengurus satu urusan saja berantakan  bagaimana dia bisa berfantasi menyelesaikan banyak urusan u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! perinta    https     t co  ey gkwtibl #debat pilkadadki https     t co  dowb  q u 
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja hujan dan pasang laut di    https     t co  mkzkftugxg #debat pilkadadki #imlek
0,rt @pandji  nah gue pikir sentimen petahana oke di #debat pilkadadki semalam  tapi mnrt politicawave malah sebaliknya  geng u     
1,rt @netmediatama  komitmen paslon    birokrasi dengan semangat melayani publik  #debat pilkadadki https     t co  d y  cndw 
1,pak anies  kita paham  thn tdk ckup buat jkrta sempurna pasti ada kkurngan  yg kita lihat itu progress  jkt lebih baik  n#debat pilkadadki
1,rt @teddygusnaidi  yang dikiri dia pikir dia ariel  yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau   hahaha!! u     
1,makin sering debat makin kelihatan karakter dan isi kepala paslon  pokoke blt pasti kelar  rt  rw kasih duit kelaaar u     https     t co  pvnihhwsec
1,rt @jokoanwar  tiap ahok djarot ngomong  nambah ilmu ya kita  #debat pilkadadki https     t co  xwwrnalpbu
1,rt @   agree  meme terbaik awal tahun ini  ))) pecah!!! goks @basuki btp #debat pilkadadki #ahokdjarot https     t co  mbq jiww  
1,ada yg jadi jd pemimpin    thn nggak jd apa  sementara ahok baru   thn sdh merubah jakarta  apalagi kalau ditambah u     https     t co  fi pdafrqh
0,rt @ichakeljombar  seorang dosen yang seharusnya dikagumi karena cerdas otaknya  tapi seketika runtuh karena hobinya menjatuhkan orang lain u    
0,rt @sehan   pk anis nyinggung kjp  rakyat jkt perlu tau nih  justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil  #debat pil u    
0,rt @the various  mengacungkan jari kebawah termasuk bagian dari rasis  dan itu dilakukan paslon    menurut sy itu attitude yg kurang baik   u    
0,pilkada dki jakarta harap tidak pilih nomor    bahaya laten komunis!    https     t co  zozxs cbse #debat pilkadadki https     t co  dcxmfkrh k
0,@enny endah @jojobinjai kirain cm sy yg ngrasa  pas #debat pilkadadki senyumnya sinis saat paslon   sdg bicara  mana brkacak pinggang pulak 
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
1,rt @teddygusnaidi     tidak bisa dalam waktu   tahun hrs membereskan semuanya  karena masih ada yg dalam progres  ini bukan sulap simsalabi u    
0,rt @nci ri  pasca #debat pilkadadki kena batunya  @agusyudhoyono dibentak kapolres jakarta selatan  karena bikin macet jalan  nhttps     t co   u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! liverpo    https     t co  d pinwirqg #debat pilkadadki https     t co  srqaqkplcm
1,#debat pilkadadki n#umatshalatistikharah   allah swt maha tahu yg ada di dlm hati kita  &amp
1,rt @netmediatama  komitmen paslon    birokrasi dengan semangat melayani publik  #debat pilkadadki https     t co  d y  cndw 
1,pak anies  kita paham  thn tdk ckup buat jkrta sempurna pasti ada kkurngan  yg kita lihat itu progress  jkt lebih baik  n#debat pilkadadki
0,rt @suckersrod  dulu mengidolakan anies  skrg jujur knapa anies jd karakter jahat?? ada yg ngerasa sama? apa cmn gw? #debat pilkadadki
0,rt @teddygusnaidi  lah   lu monolog sejam yg dihadiri orang  lu sendiri  dipuja   knp gak dijelaskan? ngeles aja emg gak bisa u     
0,rt @tweetparpol  ini harga per-berita wartawan yang dipelihara oleh pdip https     t co  e s uozeo  n n #debat pilkadadki
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
1,rt @   agree  meme terbaik awal tahun ini  ))) pecah!!! goks @basuki btp #debat pilkadadki #ahokdjarot https     t co  mbq jiww  
1,rt @ronaldferdynand  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki  sangat mulia  terima kasih pak @basuki b u    
1,rt @diki romadhoni  retweet please       nmenurut anda  paslon mana yang paling pantas memimpin jakarta lima tahun kedepan? #debat pilkadajk u    
0,rt @fredoriko rival  paslon   = gak ngerti brarti nyerang  npaslon   = yg penting jakarta maju npaslon   = yg penting banyak kata     mutiara u    
0,belum jd gubernur saja kelakuan sdh norak @agusyudhoyono gus  didebat ngomongin kemacetan tp lu sndri bikin macet https     t co  cuef sxatu
0,ya itulah mental baru sekelas danramil berlagak jenderal  https     t co  bcs yeer h
1,rt @ponakannyaom  kembali saya ingatkan  siapa pun n nsekali lagi n ns i a p a p u n  n nyang akhirnya menang n nyeezy kemal sudah siap n n#debat pil u    
